Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Caconde,SP,8000,0,8000,0,10000,0,1250,0,233330,0
Cafelândia,SP,220,0,220,0,198,0,900,0,4708,0
Caieiras,SP,2,0,2,0,2,0,1000,0,53,0
Cajuru,SP,2000,0,2000,0,3120,0,1560,0,77290,0
Campinas,SP,450,0,450,0,702,0,1560,0,10191,0
Campos Novos Paulista,SP,24,0,24,0,36,0,1500,0,701,0
Cananéia,SP,1,1,1,1,1,1,1000,1000,12,12
Cândido Mota,SP,20,0,20,0,25,0,1250,0,465,0
Casa Branca,SP,160,0,160,0,192,0,1200,0,4320,0
Cássia dos Coqueiros,SP,2800,0,2800,0,3640,0,1300,0,84328,0
Cedral,SP,4,0,4,0,6,0,1500,0,39,0
Cerqueira César,SP,150,0,150,0,188,0,1253,0,4230,0
Clementina,SP,18,0,18,0,9,0,500,0,205,0
Colômbia,SP,6,0,6,0,5,0,833,0,119,0
Cordeirópolis,SP,0,36,0,36,0,76,0,2111,0,2166
Coroados,SP,12,0,12,0,8,0,667,0,120,0
Coronel Macedo,SP,350,0,350,0,499,0,1426,0,8360,0
Corumbataí,SP,36,0,36,0,26,0,722,0,537,0
Cosmorama,SP,40,0,40,0,24,0,600,0,270,0
Cravinhos,SP,30,0,30,0,65,0,2167,0,1610,0
Cristais Paulista,SP,7500,0,7500,0,15300,0,2040,0,382347,0
Cunha,SP,3,0,3,0,5,0,1667,0,58,0
Descalvado,SP,420,0,420,0,425,0,1012,0,7650,0
Divinolândia,SP,4500,0,4500,0,8100,0,1800,0,243000,0
Dois Córregos,SP,3000,0,3000,0,5124,0,1708,0,114778,0
Dourado,SP,105,0,105,0,147,0,1400,0,2793,0
Dracena,SP,48,0,48,0,43,0,896,0,473,0
Duartina,SP,740,0,740,0,2072,0,2800,0,40335,0
Echaporã,SP,30,0,30,0,36,0,1200,0,689,0
Espírito Santo do Pinhal,SP,7400,0,7400,0,14800,0,2000,0,402560,0
Estrela d'Oeste,SP,11,0,11,0,7,0,636,0,99,0
Fartura,SP,2482,0,2482,0,5971,0,2406,0,159229,0
Fernandópolis,SP,5,0,5,0,3,0,600,0,41,0
Fernão,SP,181,0,181,0,186,0,1028,0,3441,0
Flórida Paulista,SP,100,0,100,0,120,0,1200,0,1620,0
Franca,SP,9480,0,9480,0,18960,0,2000,0,625680,0
Gabriel Monteiro,SP,139,0,139,0,151,0,1086,0,1133,0
Gália,SP,2800,0,2800,0,3847,0,1374,0,71170,0
Garça,SP,8300,0,8300,0,11400,0,1373,0,210900,0
Gavião Peixoto,SP,6,0,6,0,10,0,1667,0,230,0
Getulina,SP,51,2,51,2,77,5,1510,2500,1588,133
Glicério,SP,23,0,23,0,17,0,739,0,387,0
Guaiçara,SP,1,0,1,0,1,0,1000,0,19,0
Guaimbê,SP,85,0,85,0,36,0,424,0,720,0
Guará,SP,35,0,35,0,83,0,2371,0,1923,0
Guarantã,SP,195,1,195,1,292,2,1497,2000,6872,43
Guareí,SP,3,0,3,0,6,0,2000,0,135,0
Herculândia,SP,130,0,130,0,78,0,600,0,1865,0
Holambra,SP,15,0,15,0,30,0,2000,0,400,0
Iacri,SP,40,0,40,0,24,0,600,0,574,0
Ibirarema,SP,3,0,3,0,4,0,1333,0,74,0
Ibitinga,SP,24,0,24,0,36,0,1500,0,720,0
Igarapava,SP,106,0,106,0,286,0,2698,0,6625,0
Indaiatuba,SP,125,0,125,0,145,0,1160,0,1131,0
Inúbia Paulista,SP,30,0,30,0,34,0,1133,0,459,0
Ipaussu,SP,6,0,6,0,6,0,1000,0,117,0
Iporanga,SP,4,0,4,0,3,0,750,0,48,0
Irapuru,SP,400,0,400,0,376,0,940,0,5076,0
Itaberá,SP,5,0,5,0,8,0,1600,0,146,0
Itaí,SP,1200,0,1200,0,1440,0,1200,0,32400,0
Itajobi,SP,8,0,8,0,12,0,1500,0,240,0
Itaju,SP,10,0,10,0,10,0,1000,0,224,0
Itaoca,SP,2,0,2,0,2,0,1000,0,33,0
Itapira,SP,970,0,970,0,1086,0,1120,0,11493,0
Itápolis,SP,10,0,10,0,15,0,1500,0,143,0
Itaporanga,SP,96,0,96,0,134,0,1396,0,2742,0
Itapuí,SP,7,0,7,0,7,0,1000,0,157,0
Itatiba,SP,160,0,160,0,312,0,1950,0,4048,0
Itatinga,SP,20,0,20,0,30,0,1500,0,480,0
Itirapina,SP,110,0,110,0,165,0,1500,0,3448,0
Itirapuã,SP,4000,0,4000,0,7040,0,1760,0,234573,0
Itobi,SP,200,0,200,0,265,0,1325,0,6183,0
Itu,SP,68,0,68,0,82,0,1206,0,640,0
Itupeva,SP,4,0,4,0,6,0,1500,0,94,0
Ituverava,SP,313,0,313,0,618,0,1974,0,13915,0
Jaci,SP,20,0,20,0,5,0,250,0,120,0
Jales,SP,6,0,6,0,6,0,1000,0,66,0
Jardinópolis,SP,38,0,38,0,48,0,1263,0,962,0
Jaú,SP,580,0,580,0,899,0,1550,0,20228,0
Jeriquara,SP,4800,0,4800,0,12960,0,2700,0,430272,0
Joanópolis,SP,15,0,15,0,18,0,1200,0,324,0
Júlio Mesquita,SP,20,0,20,0,24,0,1200,0,444,0
Jundiaí,SP,40,0,40,0,51,0,1275,0,398,0
Junqueirópolis,SP,8,0,8,0,8,0,1000,0,88,0
Juquiá,SP,8,0,8,0,6,0,750,0,96,0
Laranjal Paulista,SP,15,0,15,0,18,0,1200,0,165,0
Leme,SP,360,0,360,0,792,0,2200,0,18449,0
Lençóis Paulista,SP,520,0,520,0,780,0,1500,0,17723,0
Limeira,SP,34,0,34,0,36,0,1059,0,986,0
Lindóia,SP,140,0,140,0,170,0,1214,0,3060,0
Lins,SP,14,0,14,0,20,0,1429,0,400,0
Lucélia,SP,78,0,78,0,84,0,1077,0,1109,0
Lucianópolis,SP,80,0,80,0,96,0,1200,0,1869,0
Luís Antônio,SP,50,0,50,0,68,0,1360,0,1684,0
Luiziânia,SP,35,0,35,0,32,0,914,0,728,0
Lupércio,SP,1000,0,1000,0,1137,0,1137,0,21035,0
Macatuba,SP,172,0,172,0,258,0,1500,0,5356,0
Macedônia,SP,60,0,60,0,50,0,833,0,640,0
Manduri,SP,1632,0,1632,0,2938,0,1800,0,66105,0
Mariápolis,SP,110,0,110,0,160,0,1455,0,2120,0
Marília,SP,800,0,800,0,1069,0,1336,0,19777,0
Matão,SP,50,0,50,0,105,0,2100,0,2415,0
Mineiros do Tietê,SP,102,0,102,0,138,0,1353,0,3119,0
Mirandópolis,SP,17,0,17,0,9,0,529,0,180,0
Mococa,SP,2500,0,2500,0,3750,0,1500,0,106249,0
Mogi Guaçu,SP,410,0,410,0,367,0,895,0,3884,0
Monte Alegre do Sul,SP,420,0,420,0,722,0,1719,0,5640,0
Monte Alto,SP,11,0,11,0,17,0,1545,0,169,0
Monte Aprazível,SP,6,0,6,0,7,0,1167,0,168,0
Monte Azul Paulista,SP,123,0,123,0,218,0,1772,0,5001,0
Monte Mor,SP,16,0,16,0,24,0,1500,0,480,0
Morungaba,SP,80,0,80,0,144,0,1800,0,2592,0
Nantes,SP,210,0,210,0,215,0,1024,0,2000,0
Nazaré Paulista,SP,9,10,9,10,13,12,1444,1200,234,192
Neves Paulista,SP,20,0,20,0,40,0,2000,0,960,0
Nova Aliança,SP,7,0,7,0,21,0,3000,0,294,0
Nova Guataporanga,SP,3,0,3,0,3,0,1000,0,33,0
Novais,SP,1,0,1,0,2,0,2000,0,40,0
Novo Horizonte,SP,33,0,33,0,55,0,1667,0,1100,0
Nuporanga,SP,552,0,552,0,1715,0,3107,0,38409,0
Ocauçu,SP,650,0,650,0,1131,0,1740,0,20924,0
Óleo,SP,80,0,80,0,82,0,1025,0,1845,0
Olímpia,SP,5,0,5,0,5,0,1000,0,119,0
Oriente,SP,100,0,100,0,146,0,1460,0,2701,0
Orlândia,SP,371,0,371,0,970,0,2615,0,21796,0
Oscar Bressane,SP,67,0,67,0,121,0,1806,0,2239,0
Osvaldo Cruz,SP,1300,0,1300,0,1147,0,882,0,15485,0
Ourinhos,SP,27,0,27,0,41,0,1519,0,798,0
Ouro Verde,SP,6,0,6,0,5,0,833,0,55,0
Pacaembu,SP,350,0,350,0,323,0,923,0,4361,0
Paraguaçu Paulista,SP,10,0,10,0,7,0,700,0,130,0
Paraíso,SP,1,0,1,0,1,0,1000,0,20,0
Parapuã,SP,1200,0,1200,0,1500,0,1250,0,35874,0
Pardinho,SP,492,0,492,0,585,0,1189,0,9360,0
Pariquera-Açu,SP,0,2,0,2,0,2,0,1000,0,30
Patrocínio Paulista,SP,3679,0,3679,0,8462,0,2300,0,280938,0
Pederneiras,SP,22,0,22,0,22,0,1000,0,492,0
Pedra Bela,SP,72,0,72,0,94,0,1306,0,1692,0
Pedregulho,SP,16500,0,16500,0,31350,0,1900,0,1040820,0
Pedreira,SP,8,0,8,0,8,0,1000,0,144,0
Penápolis,SP,50,0,50,0,36,0,720,0,819,0
Piacatu,SP,16,0,16,0,17,0,1063,0,128,0
Pinhalzinho,SP,70,0,70,0,105,0,1500,0,1890,0
Piracaia,SP,1,0,1,0,1,0,1000,0,18,0
Piraju,SP,1300,0,1300,0,2516,0,1935,0,62900,0
Pirajuí,SP,185,0,185,0,333,0,1800,0,6789,0
Pirangi,SP,17,0,17,0,5,0,294,0,112,0
Pirapozinho,SP,30,0,30,0,31,0,1033,0,290,0
Piratininga,SP,20,0,20,0,24,0,1200,0,537,0
Pitangueiras,SP,4,0,4,0,4,0,1000,0,75,0
Pompéia,SP,98,0,98,0,147,0,1500,0,2990,0
Pongaí,SP,15,0,15,0,18,0,1200,0,450,0
Pontes Gestal,SP,13,0,13,0,8,0,615,0,90,0
Populina,SP,6,0,6,0,3,0,500,0,33,0
Porto Feliz,SP,26,0,26,0,31,0,1192,0,242,0
Potirendaba,SP,10,0,10,0,15,0,1500,0,88,0
Pradópolis,SP,1,0,1,0,1,0,1000,0,19,0
Pratânia,SP,225,0,225,0,262,0,1164,0,4192,0
Presidente Alves,SP,27,0,27,0,30,0,1111,0,667,0
Promissão,SP,30,0,30,0,22,0,733,0,501,0
Quatá,SP,76,0,76,0,75,0,987,0,724,0
Quintana,SP,40,0,40,0,26,0,650,0,622,0
Regente Feijó,SP,80,0,80,0,90,0,1125,0,850,0
Registro,SP,0,3,0,3,0,6,0,2000,0,96
Restinga,SP,2500,0,2500,0,4518,0,1807,0,98041,0
Ribeirão Bonito,SP,48,0,48,0,82,0,1708,0,1558,0
Ribeirão Corrente,SP,7000,0,7000,0,12740,0,1820,0,422968,0
Ribeirão do Sul,SP,440,0,440,0,528,0,1200,0,10278,0
Ribeirão Preto,SP,70,0,70,0,84,0,1200,0,2081,0
Rifaina,SP,30,0,30,0,50,0,1667,0,1666,0
Rinópolis,SP,100,0,100,0,68,0,680,0,1626,0
Rio Claro,SP,17,0,17,0,29,0,1706,0,597,0
Rosana,SP,10,0,10,0,10,0,1000,0,70,0
Sabino,SP,2,0,2,0,4,0,2000,0,96,0
Sagres,SP,125,0,125,0,178,0,1424,0,2332,0
Sales Oliveira,SP,243,0,243,0,437,0,1798,0,9949,0
Salmourão,SP,280,0,280,0,398,0,1421,0,5341,0
Santa Bárbara d'Oeste,SP,24,0,24,0,34,0,1417,0,531,0
Santa Cruz da Esperança,SP,150,0,150,0,270,0,1800,0,7499,0
Santa Cruz das Palmeiras,SP,495,0,495,0,743,0,1501,0,17389,0
Santa Cruz do Rio Pardo,SP,200,0,200,0,144,0,720,0,2803,0
Santa Lúcia,SP,170,0,170,0,306,0,1800,0,7650,0
Santa Rita do Passa Quatro,SP,180,0,180,0,216,0,1200,0,5099,0
Santa Rosa de Viterbo,SP,120,0,120,0,158,0,1317,0,3166,0
Santo Antônio da Alegria,SP,2750,0,2750,0,5225,0,1900,0,130625,0
Santo Antônio de Posse,SP,83,0,83,0,63,0,759,0,667,0
Santo Antônio do Jardim,SP,3720,0,3720,0,7440,0,2000,0,199392,0
Santópolis do Aguapeí,SP,2,0,2,0,1,0,500,0,23,0
São Carlos,SP,700,0,700,0,595,0,850,0,10710,0
São João da Boa Vista,SP,3000,0,3000,0,5400,0,1800,0,144720,0
São João das Duas Pontes,SP,5,0,5,0,5,0,1000,0,69,0
São João do Pau d'Alho,SP,2,0,2,0,2,0,1000,0,22,0
São José da Bela Vista,SP,1480,0,1480,0,2645,0,1787,0,60835,0
São José do Rio Pardo,SP,1300,0,1300,0,2370,0,1823,0,64701,0
São Manuel,SP,815,0,815,0,945,0,1160,0,15120,0
São Paulo,SP,1,0,1,0,1,0,1000,0,25,0
São Pedro,SP,32,0,32,0,33,0,1031,0,682,0
São Pedro do Turvo,SP,230,0,230,0,230,0,1000,0,4477,0
São Sebastião da Grama,SP,5500,0,5500,0,9000,0,1636,0,180000,0
São Simão,SP,30,0,30,0,36,0,1200,0,635,0
Sarutaiá,SP,1700,0,1700,0,2040,0,1200,0,45900,0
Serrana,SP,90,0,90,0,118,0,1311,0,2923,0
Serra Negra,SP,2540,0,2540,0,3658,0,1440,0,65844,0
Sete Barras,SP,2,0,2,0,2,0,1000,0,32,0
Socorro,SP,2700,0,2700,0,4050,0,1500,0,80190,0
Tabatinga,SP,85,0,85,0,168,0,1976,0,3864,0
Taguaí,SP,1960,0,1960,0,4356,0,2222,0,98010,0
Tambaú,SP,200,0,200,0,360,0,1800,0,8384,0
Tanabi,SP,20,0,20,0,24,0,1200,0,288,0
Tapiratiba,SP,1850,0,1850,0,2220,0,1200,0,44400,0
Taquarituba,SP,700,0,700,0,840,0,1200,0,7140,0
Tejupá,SP,4500,0,4500,0,14625,0,3250,0,390049,0
Teodoro Sampaio,SP,50,0,50,0,20,0,400,0,120,0
Timburi,SP,835,0,835,0,1002,0,1200,0,22545,0
Torrinha,SP,1650,0,1650,0,2376,0,1440,0,53460,0
Trabiju,SP,190,0,190,0,800,0,4211,0,20000,0
Tuiuti,SP,40,0,40,0,64,0,1600,0,1152,0
Tupã,SP,140,0,140,0,112,0,800,0,2679,0
Tupi Paulista,SP,20,0,20,0,18,0,900,0,198,0
Ubirajara,SP,200,0,200,0,240,0,1200,0,4672,0
Urânia,SP,3,0,3,0,3,0,1000,0,33,0
Uru,SP,21,0,21,0,38,0,1810,0,684,0
Vargem,SP,5,0,5,0,8,0,1600,0,144,0
Vargem Grande do Sul,SP,420,0,420,0,756,0,1800,0,20261,0
Vera Cruz,SP,2700,0,2700,0,2950,0,1093,0,54575,0
Vinhedo,SP,2,0,2,0,3,0,1500,0,36,0
Votuporanga,SP,10,0,10,0,5,0,500,0,56,0
Chavantes,SP,2,0,2,0,2,0,1000,0,39,0
Estiva Gerbi,SP,2,0,2,0,3,0,1500,0,31,0
Abatiá,PR,260,0,260,0,421,0,1619,0,8847,0
Altônia,PR,71,0,71,0,30,0,423,0,548,0
Alto Paraná,PR,8,0,8,0,8,0,1000,0,160,0
Alvorada do Sul,PR,58,0,58,0,71,0,1224,0,1278,0
Amaporã,PR,1,0,1,0,1,0,1000,0,20,0
Anahy,PR,5,0,5,0,6,0,1200,0,120,0
Andirá,PR,2,0,2,0,3,0,1500,0,63,0
Ângulo,PR,5,0,5,0,6,0,1200,0,130,0
Apucarana,PR,1100,0,1100,0,1782,0,1620,0,36941,0
Arapongas,PR,42,0,42,0,71,0,1690,0,1385,0
Arapoti,PR,80,0,80,0,112,0,1400,0,1707,0
Arapuã,PR,10,0,10,0,10,0,1000,0,200,0
Araruna,PR,70,0,70,0,70,0,1000,0,1277,0
Ariranha do Ivaí,PR,5,0,5,0,5,0,1000,0,100,0
Assaí,PR,200,0,200,0,275,0,1375,0,5500,0
Assis Chateaubriand,PR,10,0,10,0,15,0,1500,0,264,0
Astorga,PR,100,0,100,0,160,0,1600,0,3504,0
Atalaia,PR,2,0,2,0,2,0,1000,0,20,0
Bandeirantes,PR,15,0,15,0,23,0,1533,0,498,0
Barbosa Ferraz,PR,5,0,5,0,3,0,600,0,55,0
Barra do Jacaré,PR,1,0,1,0,1,0,1000,0,21,0
Bela Vista do Paraíso,PR,35,0,35,0,35,0,1000,0,700,0
Bom Sucesso,PR,5,0,5,0,8,0,1600,0,163,0
Borrazópolis,PR,90,0,90,0,99,0,1100,0,1980,0
Braganey,PR,15,0,15,0,16,0,1067,0,320,0
Cafeara,PR,13,0,13,0,57,0,4385,0,570,0
Cafezal do Sul,PR,4,0,4,0,5,0,1250,0,61,0
Califórnia,PR,45,0,45,0,77,0,1711,0,1567,0
Cambará,PR,1,0,1,0,1,0,1000,0,21,0
Cambé,PR,140,0,140,0,154,0,1100,0,3373,0
Cambira,PR,380,0,380,0,646,0,1700,0,13392,0
Campo Mourão,PR,5,0,5,0,3,0,600,0,55,0
Carlópolis,PR,5040,0,5040,0,9324,0,1850,0,196733,0
Centenário do Sul,PR,17,0,17,0,14,0,824,0,140,0
Cianorte,PR,500,0,500,0,1000,0,2000,0,19813,0
Cidade Gaúcha,PR,27,0,27,0,27,0,1000,0,535,0
Congonhinhas,PR,310,0,310,0,148,0,477,0,3110,0
Conselheiro Mairinck,PR,78,0,78,0,121,0,1551,0,2312,0
Corbélia,PR,2,0,2,0,2,0,1000,0,30,0
Cornélio Procópio,PR,198,0,198,0,293,0,1480,0,6325,0
Corumbataí do Sul,PR,40,0,40,0,20,0,500,0,365,0
Cruzeiro do Oeste,PR,32,0,32,0,11,0,344,0,204,0
Cruzeiro do Sul,PR,1,0,1,0,1,0,1000,0,10,0
Cruzmaltina,PR,16,0,16,0,14,0,875,0,280,0
Curiúva,PR,142,0,142,0,170,0,1197,0,3413,0
Diamante do Norte,PR,10,0,10,0,8,0,800,0,160,0
Diamante D'Oeste,PR,5,0,5,0,7,0,1400,0,91,0
Douradina,PR,10,0,10,0,4,0,400,0,71,0
Doutor Camargo,PR,9,0,9,0,9,0,1000,0,194,0
Engenheiro Beltrão,PR,15,0,15,0,15,0,1000,0,274,0
Esperança Nova,PR,8,0,8,0,4,0,500,0,74,0
Faxinal,PR,12,0,12,0,11,0,917,0,220,0
Figueira,PR,102,0,102,0,122,0,1196,0,1233,0
Floraí,PR,15,0,15,0,15,0,1000,0,323,0
Florestópolis,PR,8,0,8,0,8,0,1000,0,180,0
Formosa do Oeste,PR,3,0,3,0,4,0,1333,0,70,0
Godoy Moreira,PR,20,0,20,0,28,0,1400,0,558,0
Grandes Rios,PR,910,0,910,0,1092,0,1200,0,21840,0
Guairaçá,PR,11,0,11,0,17,0,1545,0,340,0
Guapirama,PR,62,0,62,0,90,0,1452,0,1899,0
Ibaiti,PR,1623,0,1623,0,2678,0,1650,0,51178,0
Ibiporã,PR,150,0,150,0,199,0,1327,0,3980,0
Icaraíma,PR,6,0,6,0,2,0,333,0,37,0
Iguaraçu,PR,22,0,22,0,18,0,818,0,370,0
Iguatu,PR,4,0,4,0,5,0,1250,0,100,0
Indianópolis,PR,19,0,19,0,19,0,1000,0,361,0
Iporã,PR,29,0,29,0,8,0,276,0,147,0
Iracema do Oeste,PR,2,0,2,0,2,0,1000,0,35,0
Iretama,PR,15,0,15,0,8,0,533,0,142,0
Itambé,PR,4,0,4,0,3,0,750,0,62,0
Itaúna do Sul,PR,20,0,20,0,20,0,1000,0,400,0
Ivaiporã,PR,360,0,360,0,378,0,1050,0,7560,0
Ivaté,PR,4,0,4,0,2,0,500,0,20,0
Ivatuba,PR,1,0,1,0,1,0,1000,0,22,0
Jaboti,PR,720,0,720,0,1123,0,1560,0,21461,0
Jacarezinho,PR,276,0,276,0,522,0,1891,0,11014,0
Jaguapitã,PR,3,0,3,0,3,0,1000,0,59,0
Jandaia do Sul,PR,260,0,260,0,416,0,1600,0,8465,0
Janiópolis,PR,12,0,12,0,6,0,500,0,109,0
Japira,PR,563,0,563,0,991,0,1760,0,18938,0
Japurá,PR,60,0,60,0,55,0,917,0,990,0
Jardim Alegre,PR,242,0,242,0,242,0,1000,0,4840,0
Jataizinho,PR,7,0,7,0,11,0,1571,0,220,0
Jesuítas,PR,150,0,150,0,225,0,1500,0,3964,0
Joaquim Távora,PR,164,0,164,0,243,0,1482,0,5127,0
Jundiaí do Sul,PR,98,0,98,0,142,0,1449,0,2996,0
Kaloré,PR,2,0,2,0,2,0,1000,0,41,0
Lidianópolis,PR,170,0,170,0,184,0,1082,0,3680,0
Loanda,PR,14,0,14,0,6,0,429,0,120,0
Londrina,PR,450,0,450,0,551,0,1224,0,11020,0
Lunardelli,PR,61,0,61,0,66,0,1082,0,1320,0
Lupionópolis,PR,2,0,2,0,2,0,1000,0,36,0
Mandaguaçu,PR,6,0,6,0,8,0,1333,0,172,0
Mandaguari,PR,700,0,700,0,840,0,1200,0,17707,0
Maria Helena,PR,38,0,38,0,17,0,447,0,311,0
Marialva,PR,84,0,84,0,82,0,976,0,1800,0
Marilândia do Sul,PR,2,0,2,0,2,0,1000,0,41,0
Marilena,PR,9,0,9,0,5,0,556,0,100,0
Maringá,PR,65,0,65,0,52,0,800,0,1099,0
Marumbi,PR,20,0,20,0,32,0,1600,0,651,0
Matelândia,PR,1,0,1,0,2,0,2000,0,40,0
Miraselva,PR,13,0,13,0,11,0,846,0,215,0
Moreira Sales,PR,5,0,5,0,6,0,1200,0,109,0
Munhoz de Melo,PR,8,0,8,0,8,0,1000,0,80,0
Nossa Senhora das Graças,PR,1,0,1,0,1,0,1000,0,10,0
Nova América da Colina,PR,215,0,215,0,322,0,1498,0,7107,0
Nova Esperança,PR,20,0,20,0,20,0,1000,0,400,0
Nova Fátima,PR,410,0,410,0,614,0,1498,0,13327,0
Nova Santa Bárbara,PR,5,0,5,0,8,0,1600,0,174,0
Nova Tebas,PR,1,0,1,0,1,0,1000,0,18,0
Novo Itacolomi,PR,5,0,5,0,8,0,1600,0,163,0
Ortigueira,PR,5,0,5,0,7,0,1400,0,142,0
Ourizona,PR,4,0,4,0,7,0,1750,0,152,0
Paranacity,PR,1,0,1,0,1,0,1000,0,10,0
Paranavaí,PR,24,0,24,0,24,0,1000,0,480,0
Peabiru,PR,5,0,5,0,3,0,600,0,55,0
Perobal,PR,6,0,6,0,2,0,333,0,37,0
Pérola,PR,11,0,11,0,7,0,636,0,130,0
Pinhalão,PR,1946,0,1946,0,3406,0,1750,0,65090,0
Pitangueiras,PR,183,0,183,0,220,0,1202,0,4686,0
Planaltina do Paraná,PR,5,0,5,0,6,0,1200,0,120,0
Porecatu,PR,3,0,3,0,2,0,667,0,39,0
Prado Ferreira,PR,10,0,10,0,10,0,1000,0,225,0
Primeiro de Maio,PR,15,0,15,0,12,0,800,0,240,0
Quatiguá,PR,20,0,20,0,29,0,1450,0,612,0
Querência do Norte,PR,1,0,1,0,2,0,2000,0,40,0
Rancho Alegre,PR,2,0,2,0,3,0,1500,0,64,0
Ribeirão Claro,PR,653,0,653,0,1208,0,1850,0,25488,0
Ribeirão do Pinhal,PR,476,0,476,0,503,0,1057,0,10613,0
Rio Bom,PR,2,0,2,0,2,0,1000,0,41,0
Rio Branco do Ivaí,PR,10,0,10,0,10,0,1000,0,200,0
Rolândia,PR,300,0,300,0,324,0,1080,0,7096,0
Roncador,PR,10,0,10,0,6,0,600,0,108,0
Rondon,PR,34,0,34,0,27,0,794,0,513,0
Rosário do Ivaí,PR,15,0,15,0,18,0,1200,0,360,0
Sabáudia,PR,5,0,5,0,5,0,1000,0,98,0
Salto do Itararé,PR,289,0,289,0,520,0,1799,0,10972,0
Santa Amélia,PR,111,0,111,0,166,0,1495,0,3617,0
Santa Fé,PR,14,0,14,0,14,0,1000,0,140,0
Santa Inês,PR,1,0,1,0,1,0,1000,0,10,0
Santa Mariana,PR,326,0,326,0,488,0,1497,0,10500,0
Santana do Itararé,PR,1,0,1,0,2,0,2000,0,31,0
Santo Antônio da Platina,PR,730,0,730,0,1358,0,1860,0,28653,0
Santo Inácio,PR,3,0,3,0,3,0,1000,0,30,0
São Jerônimo da Serra,PR,778,0,778,0,1167,0,1500,0,25298,0
São João do Caiuá,PR,1,0,1,0,1,0,1000,0,20,0
São João do Ivaí,PR,10,0,10,0,10,0,1000,0,200,0
São Jorge do Patrocínio,PR,219,0,219,0,97,0,443,0,1004,0
São José da Boa Vista,PR,3,0,3,0,4,0,1333,0,64,0
São José das Palmeiras,PR,5,0,5,0,8,0,1600,0,144,0
São Manoel do Paraná,PR,5,0,5,0,4,0,800,0,72,0
São Miguel do Iguaçu,PR,1,0,1,0,1,0,1000,0,19,0
São Pedro do Ivaí,PR,10,0,10,0,12,0,1200,0,244,0
São Pedro do Paraná,PR,2,0,2,0,1,0,500,0,15,0
São Tomé,PR,66,0,66,0,84,0,1273,0,1581,0
Sapopema,PR,150,0,150,0,180,0,1200,0,3614,0
Sarandi,PR,14,0,14,0,11,0,786,0,237,0
Sertaneja,PR,3,0,3,0,5,0,1667,0,110,0
Sertanópolis,PR,35,0,35,0,32,0,914,0,640,0
Siqueira Campos,PR,430,0,430,0,774,0,1800,0,16331,0
Tamarana,PR,50,0,50,0,56,0,1120,0,1120,0
Tamboara,PR,38,0,38,0,57,0,1500,0,1140,0
Tapejara,PR,55,0,55,0,82,0,1491,0,1582,0
Tapira,PR,4,0,4,0,1,0,250,0,19,0
Terra Boa,PR,42,0,42,0,76,0,1810,0,1292,0
Terra Rica,PR,10,0,10,0,9,0,900,0,180,0
Terra Roxa,PR,40,0,40,0,48,0,1200,0,1008,0
Tomazina,PR,1218,0,1218,0,2132,0,1750,0,40743,0
Tuneiras do Oeste,PR,8,0,8,0,6,0,750,0,110,0
Umuarama,PR,20,0,20,0,8,0,400,0,144,0
Uniflor,PR,2,0,2,0,2,0,1000,0,20,0
Uraí,PR,4,0,4,0,6,0,1500,0,130,0
Wenceslau Braz,PR,4,0,4,0,6,0,1500,0,96,0
Alto Paraíso,PR,1,0,1,0,2,0,2000,0,24,0
Xambrê,PR,3,0,3,0,1,0,333,0,19,0
Eldorado,MS,4,0,4,0,3,0,750,0,23,0
Ivinhema,MS,145,0,145,0,70,0,483,0,1517,0
Japorã,MS,1,0,1,0,1,0,1000,0,15,0
Mundo Novo,MS,1,0,1,0,1,0,1000,0,8,0
Novo Horizonte do Sul,MS,4,0,4,0,2,0,500,0,43,0
Sidrolândia,MS,4,0,0,0,0,0,0,0,0,0
Alta Floresta,MT,0,200,0,200,0,120,0,600,0,1680
Apiacás,MT,0,7,0,7,0,7,0,1000,0,68
Aripuanã,MT,0,700,0,700,0,690,0,986,0,11408
Barra do Bugres,MT,0,2,0,2,0,1,0,500,0,17
Carlinda,MT,0,50,0,50,0,30,0,600,0,251
Castanheira,MT,0,35,0,35,0,25,0,714,0,405
Colniza,MT,0,5250,0,5250,0,7188,0,1369,0,134056
Comodoro,MT,0,8,0,8,0,3,0,375,0,51
Cotriguaçu,MT,0,500,0,500,0,702,0,1404,0,12285
Guarantã do Norte,MT,0,6,0,6,0,2,0,333,0,33
Itaúba,MT,0,5,0,5,0,4,0,800,0,66
Itiquira,MT,6,0,0,0,0,0,0,0,0,0
Jauru,MT,0,3,0,3,0,3,0,1000,0,51
Juara,MT,0,100,0,100,0,160,0,1600,0,2637
Juína,MT,5,865,5,865,2,1297,400,1499,37,23346
Juruena,MT,0,60,0,60,0,48,0,800,0,799
Juscimeira,MT,0,1,0,0,0,0,0,0,0,0
Vila Bela da Santíssima Trindade,MT,0,20,0,20,0,14,0,700,0,237
Marcelândia,MT,0,21,0,21,0,13,0,619,0,214
Matupá,MT,0,6,0,6,0,4,0,667,0,66
Nova Bandeirantes,MT,0,700,0,700,0,630,0,900,0,7146
