Município,UF,Área destinada à colheita de Arábica,Área destinada à colheita de Canephora,Área colhida de Arábica,Área colhida de Canephora,Toneladas produzidas de Arábica,Toneladas produzidas de Canephora,Rendimento médio da produção (Quilogramas por Hectare) Arábica,Rendimento médio da produção (Quilogramas por Hectare) Canephora,Valor da produção (Mil Reais) Arábica,Valor da produção (Mil Reais) Canephora
Cássia,MG,5590,0,5590,0,9594,0,1716,0,194652,0
Conceição da Barra de Minas,MG,275,0,275,0,495,0,1800,0,10236,0
Cataguases,MG,2,0,2,0,2,0,1000,0,42,0
Catas Altas,MG,5,6,5,6,6,11,1200,1833,121,176
Catas Altas da Noruega,MG,10,0,10,0,9,0,900,0,192,0
Catuji,MG,65,0,65,0,74,0,1138,0,1426,0
Caxambu,MG,98,0,98,0,176,0,1796,0,3604,0
Central de Minas,MG,0,3,0,3,0,2,0,667,0,33
Chácara,MG,2,0,2,0,3,0,1500,0,61,0
Chalé,MG,2380,55,2380,55,3142,76,1320,1382,64568,1140
Cipotânea,MG,30,0,30,0,36,0,1200,0,755,0
Claraval,MG,3600,0,3600,0,6912,0,1920,0,140521,0
Cláudio,MG,316,0,316,0,853,0,2699,0,19034,0
Coimbra,MG,395,0,395,0,593,0,1501,0,12781,0
Coluna,MG,3,0,3,0,2,0,667,0,34,0
Comercinho,MG,17,0,17,0,11,0,647,0,220,0
Conceição da Aparecida,MG,9000,0,9000,0,13500,0,1500,0,297344,0
Conceição das Pedras,MG,1795,0,1795,0,2800,0,1560,0,57750,0
Conceição das Alagoas,MG,12,0,12,0,21,0,1750,0,425,0
Conceição de Ipanema,MG,865,80,865,80,1116,120,1290,1500,23018,2115
Conceição do Rio Verde,MG,4300,0,4300,0,6450,0,1500,0,144180,0
Conceição dos Ouros,MG,260,0,260,0,468,0,1800,0,9328,0
Congonhal,MG,330,0,330,0,594,0,1800,0,13366,0
Congonhas,MG,8,0,8,0,10,0,1250,0,204,0
Congonhas do Norte,MG,15,0,15,0,18,0,1200,0,385,0
Conquista,MG,8,0,8,0,17,0,2125,0,342,0
Conselheiro Pena,MG,3830,510,3830,510,4596,612,1200,1200,94793,11322
Coqueiral,MG,9000,0,9000,0,8100,0,900,0,169467,0
Coração de Jesus,MG,9,0,9,0,8,0,889,0,161,0
Cordislândia,MG,1780,0,1780,0,2563,0,1440,0,53748,0
Coroaci,MG,60,10,60,10,126,12,2100,1200,2725,183
Coromandel,MG,7810,0,7810,0,12609,0,1614,0,266865,0
Córrego Danta,MG,950,0,950,0,1425,0,1500,0,30566,0
Córrego Fundo,MG,255,0,255,0,383,0,1502,0,7045,0
Córrego Novo,MG,35,0,35,0,42,0,1200,0,890,0
Couto de Magalhães de Minas,MG,2,0,2,0,2,0,1000,0,42,0
Cristais,MG,3580,0,3580,0,5154,0,1440,0,107107,0
Cristália,MG,5,0,5,0,4,0,800,0,80,0
Cristina,MG,760,0,760,0,1231,0,1620,0,25851,0
Cruzeiro da Fortaleza,MG,600,0,600,0,1332,0,2220,0,27367,0
Cruzília,MG,179,0,179,0,269,0,1503,0,5467,0
Cuparaque,MG,245,49,245,49,250,59,1020,1204,4457,965
Curral de Dentro,MG,70,0,70,0,187,0,2671,0,4084,0
Datas,MG,6,0,6,0,6,0,1000,0,126,0
Delfinópolis,MG,350,0,350,0,525,0,1500,0,10264,0
Descoberto,MG,1,0,1,0,2,0,2000,0,43,0
Desterro de Entre Rios,MG,82,0,82,0,113,0,1378,0,2318,0
Desterro do Melo,MG,10,0,10,0,18,0,1800,0,378,0
Diamantina,MG,618,0,618,0,1834,0,2968,0,40324,0
Divinésia,MG,120,0,120,0,158,0,1317,0,2939,0
Divino,MG,9800,0,9800,0,11760,0,1200,0,225145,0
Divino das Laranjeiras,MG,5,4,5,4,4,3,800,750,73,49
Divinolândia de Minas,MG,40,0,40,0,53,0,1325,0,902,0
Divisa Alegre,MG,40,0,40,0,29,0,725,0,585,0
Divisa Nova,MG,2380,0,2380,0,3998,0,1680,0,89161,0
Divisópolis,MG,818,0,818,0,1219,0,1490,0,22552,0
Dom Cavati,MG,25,0,25,0,15,0,600,0,330,0
Dom Joaquim,MG,2,0,2,0,2,0,1000,0,40,0
Dom Viçoso,MG,325,0,325,0,390,0,1200,0,7890,0
Dores do Turvo,MG,50,0,50,0,60,0,1200,0,1116,0
Doresópolis,MG,260,0,260,0,406,0,1562,0,7387,0
Durandé,MG,5225,0,5225,0,7211,0,1380,0,144220,0
Elói Mendes,MG,12542,0,12542,0,17830,0,1422,0,345013,0
Engenheiro Navarro,MG,0,4,0,4,0,3,0,750,0,51
Entre Folhas,MG,360,0,360,0,432,0,1200,0,9504,0
Entre Rios de Minas,MG,150,0,150,0,282,0,1880,0,5856,0
Ervália,MG,5100,0,5100,0,6732,0,1320,0,144738,0
Esmeraldas,MG,32,0,32,0,96,0,3000,0,2102,0
Espera Feliz,MG,9500,0,9500,0,13680,0,1440,0,273600,0
Espírito Santo do Dourado,MG,485,0,485,0,698,0,1439,0,15737,0
Estiva,MG,2,0,2,0,4,0,2000,0,82,0
Estrela Dalva,MG,0,43,0,43,0,155,0,3605,0,2364
Estrela do Indaiá,MG,200,0,200,0,312,0,1560,0,7020,0
Estrela do Sul,MG,2400,0,2400,0,4104,0,1710,0,90698,0
Eugenópolis,MG,1700,21,1700,21,2856,44,1680,2095,51408,704
Extrema,MG,2,0,2,0,3,0,1500,0,61,0
Fama,MG,1240,0,1240,0,2083,0,1680,0,46212,0
Faria Lemos,MG,685,0,685,0,945,0,1380,0,17908,0
Felício dos Santos,MG,297,0,297,0,791,0,2663,0,16830,0
São Gonçalo do Rio Preto,MG,42,0,42,0,106,0,2524,0,2262,0
Felisburgo,MG,9,2,9,2,11,4,1222,2000,226,70
Ferros,MG,39,0,39,0,47,0,1205,0,980,0
Fervedouro,MG,3100,0,3100,0,4836,0,1560,0,95777,0
Formiga,MG,2785,0,2785,0,5424,0,1948,0,113362,0
Formoso,MG,1000,0,1000,0,3600,0,3600,0,81000,0
Fortaleza de Minas,MG,1270,0,1270,0,1981,0,1560,0,40363,0
Francisco Dumont,MG,300,0,300,0,900,0,3000,0,17391,0
Franciscópolis,MG,90,0,90,0,81,0,900,0,1561,0
Frei Gaspar,MG,30,13,30,13,36,50,1200,3846,694,849
Frei Lagonegro,MG,5,0,5,0,6,0,1200,0,120,0
Galiléia,MG,0,30,0,30,0,60,0,2000,0,981
Grão Mogol,MG,90,0,90,0,183,0,2033,0,3924,0
Guapé,MG,9100,0,9100,0,15888,0,1746,0,323361,0
Guaraciaba,MG,130,0,130,0,234,0,1800,0,4927,0
Guaranésia,MG,4200,0,4200,0,5064,0,1206,0,109290,0
